show_id,date_added,release_year
s316,"August 3, 2021",2010
s317,"August 3, 2021",2011
s318,"August 3, 2021",2021
s319,"August 3, 2021",2021
s320,"August 3, 2021",2005
s321,"August 3, 2021",2021
s322,"August 3, 2021",2013
s323,"August 3, 2021",2008
s324,"August 1, 2021",2012
s325,"August 1, 2021",2020
s326,"August 1, 2021",1992
s327,"August 1, 2021",1993
s328,"August 1, 2021",2007
s329,"August 1, 2021",2016
s330,"August 1, 2021",2002
s331,"August 1, 2021",2009
s332,"August 1, 2021",2020
s333,"August 1, 2021",1999
s334,"August 1, 2021",1986
s335,"August 1, 2021",2019
s336,"August 1, 2021",2006
s337,"August 1, 2021",2010
s338,"August 1, 2021",2007
s339,"August 1, 2021",2014
s340,"August 1, 2021",2021
s341,"August 1, 2021",2010
s342,"August 1, 2021",1999
s343,"August 1, 2021",1995
s344,"August 1, 2021",1991
s345,"August 1, 2021",1994
s346,"August 1, 2021",2015
s347,"August 1, 2021",2008
s348,"August 1, 2021",2009
s349,"August 1, 2021",2019
s350,"August 1, 2021",2003
s351,"August 1, 2021",2000
s352,"August 1, 2021",2004
s353,"August 1, 2021",2016
s354,"August 1, 2021",2013
s355,"August 1, 2021",1991
s356,"August 1, 2021",2011
s357,"August 1, 2021",2010
s358,"August 1, 2021",2004
s359,"August 1, 2021",1995
s360,"August 1, 2021",2000
s361,"August 1, 2021",2010
s362,"July 31, 2021",2021
s363,"July 31, 2021",2018
s364,"July 31, 2021",2021
s365,"July 30, 2021",2021
s366,"July 30, 2021",2014
s367,"July 30, 2021",2021
s368,"July 30, 2021",2020
s369,"July 30, 2021",2009
s370,"July 30, 2021",2021
s371,"July 30, 2021",2021
s372,"July 30, 2021",2009
s373,"July 30, 2021",2021
s374,"July 30, 2021",2021
s375,"July 29, 2021",2013
s376,"July 29, 2021",2021
s377,"July 29, 2021",2021
s378,"July 28, 2021",2021
s379,"July 28, 2021",2019
s380,"July 28, 2021",2021
s381,"July 28, 2021",2021
s382,"July 28, 2021",2021
s383,"July 27, 2021",2021
s384,"July 27, 2021",2012
s385,"July 27, 2021",2021
s386,"July 27, 2021",2021
s387,"July 27, 2021",2021
s388,"July 27, 2021",2021
s389,"July 27, 2021",2021
s390,"July 27, 2021",2019
s391,"July 26, 2021",2019
s392,"July 26, 2021",2020
s393,"July 24, 2021",2012
s394,"July 23, 2021",2021
s395,"July 23, 2021",2021
s396,"July 23, 2021",2021
s397,"July 23, 2021",2021
s398,"July 23, 2021",2021
s399,"July 23, 2021",2021
s400,"July 23, 2021",2021
s401,"July 23, 2021",2021
s402,"July 23, 2021",2021
s403,"July 23, 2021",2021
s404,"July 23, 2021",2021
s405,"July 22, 2021",2021
s406,"July 22, 2021",2015
s407,"July 22, 2021",2013
s408,"July 22, 2021",2009
s409,"July 22, 2021",2011
s410,"July 22, 2021",2010
s411,"July 22, 2021",2013
s412,"July 22, 2021",2013
s413,"July 22, 2021",2013
s414,"July 22, 2021",2013
s415,"July 22, 2021",2012
s416,"July 22, 2021",2009
s417,"July 22, 2021",2013
s418,"July 22, 2021",2015
s419,"July 22, 2021",2019
s420,"July 22, 2021",2010
s421,"July 22, 2021",2012
s422,"July 22, 2021",2014
s423,"July 22, 2021",2011
s424,"July 22, 2021",2011
s425,"July 22, 2021",2012
s426,"July 22, 2021",2019
s427,"July 22, 2021",2021
s428,"July 22, 2021",2019
s429,"July 22, 2021",2021
s430,"July 21, 2021",2020
s431,"July 21, 2021",2021
s432,"July 21, 2021",2021
s433,"July 21, 2021",2021
s434,"July 20, 2021",2020
s435,"July 20, 2021",2020
s436,"July 20, 2021",2019
s437,"July 19, 2021",2021
s438,"July 17, 2021",2021
s439,"July 16, 2021",2020
s440,"July 16, 2021",2021
s441,"July 16, 2021",2021
s442,"July 16, 2021",2021
s443,"July 16, 2021",2021
s444,"July 16, 2021",1999
s445,"July 16, 2021",2021
s446,"July 16, 2021",2017
s447,"July 16, 2021",2017
s448,"July 16, 2021",2011
s449,"July 16, 2021",2012
s450,"July 16, 2021",2010
s451,"July 16, 2021",2009
s452,"July 16, 2021",2008
s453,"July 15, 2021",2021
s454,"July 15, 2021",2021
s455,"July 15, 2021",1983
s456,"July 15, 2021",2021
s457,"July 15, 2021",2019
s458,"July 15, 2021",2021
s459,"July 15, 2021",2021
s460,"July 15, 2021",2021
s461,"July 15, 2021",2007
s462,"July 15, 2021",2019
s463,"July 15, 2021",2019
s464,"July 14, 2021",2021
s465,"July 14, 2021",2021
s466,"July 14, 2021",2021
s467,"July 14, 2021",2021
s468,"July 14, 2021",2021
s469,"July 14, 2021",2021
s470,"July 13, 2021",2019
s471,"July 13, 2021",2021
s472,"July 13, 2021",2021
s473,"July 13, 2021",2021
s474,"July 12, 2021",2020
s475,"July 10, 2021",2015
s476,"July 10, 2021",2019
s477,"July 10, 2021",2016
s478,"July 9, 2021",2021
s479,"July 9, 2021",2021
s480,"July 9, 2021",2021
s481,"July 9, 2021",2020
s482,"July 9, 2021",2021
s483,"July 9, 2021",2021
s484,"July 9, 2021",2021
s485,"July 9, 2021",2021
s486,"July 9, 2021",2021
s487,"July 9, 2021",2016
s488,"July 9, 2021",2021
s489,"July 9, 2021",2021
s490,"July 8, 2021",2017
s491,"July 8, 2021",2021
s492,"July 8, 2021",2017
s493,"July 8, 2021",2018
s494,"July 8, 2021",2021
s495,"July 8, 2021",2015
s496,"July 7, 2021",2019
s497,"July 7, 2021",2014
s498,"July 7, 2021",2021
s499,"July 7, 2021",2020
s500,"July 7, 2021",2021
s501,"July 7, 2021",2021
s502,"July 7, 2021",2020
s503,"July 7, 2021",2010
s504,"July 7, 2021",2021
s505,"July 7, 2021",2021
s506,"July 7, 2021",2020
s507,"July 7, 2021",2021
s508,"July 7, 2021",2019
s509,"July 6, 2021",2019
s510,"July 6, 2021",2019
s511,"July 6, 2021",2016
s512,"July 6, 2021",2017
s513,"July 6, 2021",2007
s514,"July 6, 2021",2018
s515,"July 6, 2021",2019
s516,"July 6, 2021",2019
s517,"July 6, 2021",2021
s518,"July 6, 2021",2017
s519,"July 6, 2021",2020
s520,"July 6, 2021",2020
s521,"July 6, 2021",2021
s522,"July 6, 2021",2021
s523,"July 6, 2021",2015
s524,"July 6, 2021",2019
s525,"July 6, 2021",2019
s526,"July 6, 2021",2018
s527,"July 6, 2021",2019
s528,"July 6, 2021",2016
s529,"July 6, 2021",2012
s530,"July 6, 2021",1976
s531,"July 6, 2021",2015
s532,"July 6, 2021",2018
s533,"July 6, 2021",2019
s534,"July 6, 2021",2021
s535,"July 6, 2021",2019
s536,"July 6, 2021",2015
s537,"July 6, 2021",2018
s538,"July 6, 2021",2018
s539,"July 6, 2021",2021
s540,"July 6, 2021",2020
s541,"July 6, 2021",2020
s542,"July 6, 2021",2018
s543,"July 6, 2021",1959
s544,"July 6, 2021",2020
s545,"July 6, 2021",2021
s546,"July 6, 2021",2020
s547,"July 6, 2021",2021
s548,"July 4, 2021",2021
s549,"July 3, 2021",2020
s550,"July 2, 2021",2020
s551,"July 2, 2021",2021
s552,"July 2, 2021",2021
s553,"July 2, 2021",2020
s554,"July 2, 2021",2019
s555,"July 2, 2021",2020
s556,"July 2, 2021",2013
s557,"July 2, 2021",2021
s558,"July 2, 2021",2018
s559,"July 1, 2021",2012
s560,"July 1, 2021",1997
s561,"July 1, 2021",2021
s562,"July 1, 2021",2002
s563,"July 1, 2021",1997
s564,"July 1, 2021",1999
s565,"July 1, 2021",1997
s566,"July 1, 2021",2020
s567,"July 1, 2021",2000
s568,"July 1, 2021",1995
s569,"July 1, 2021",1993
s570,"July 1, 2021",2019
s571,"July 1, 2021",2021
s572,"July 1, 2021",2021
s573,"July 1, 2021",2019
s574,"July 1, 2021",2008
s575,"July 1, 2021",2011
s576,"July 1, 2021",2010
s577,"July 1, 2021",2019
s578,"July 1, 2021",2021
s579,"July 1, 2021",2005
s580,"July 1, 2021",1988
s581,"July 1, 2021",2021
s582,"July 1, 2021",1995
s583,"July 1, 2021",2016
s584,"July 1, 2021",2011
s585,"July 1, 2021",2001
s586,"July 1, 2021",2018
s587,"July 1, 2021",1992
s588,"July 1, 2021",2020
s589,"July 1, 2021",2018
s590,"July 1, 2021",2019
s591,"July 1, 2021",2016
s592,"July 1, 2021",2008
s593,"July 1, 2021",2010
s594,"July 1, 2021",2000
s595,"July 1, 2021",2009
s596,"July 1, 2021",1999
s597,"July 1, 2021",2019
s598,"July 1, 2021",2006
s599,"July 1, 2021",2010
s600,"July 1, 2021",2019
s601,"July 1, 2021",1997
s602,"July 1, 2021",1984
s603,"July 1, 2021",1986
s604,"July 1, 2021",1989
s605,"July 1, 2021",2003
s606,"July 1, 2021",1980
s607,"July 1, 2021",2006
s608,"July 1, 2021",2008
s609,"July 1, 2021",2002
s610,"July 1, 2021",2010
s611,"July 1, 2021",2003
s612,"July 1, 2021",2012
s613,"July 1, 2021",2009
s614,"July 1, 2021",2020
s615,"July 1, 2021",1998
s616,"July 1, 2021",1998
s617,"July 1, 2021",2019
s618,"July 1, 2021",2021
s619,"June 30, 2021",2021
s620,"June 30, 2021",2020
s621,"June 30, 2021",2019
s622,"June 30, 2021",2020
s623,"June 30, 2021",2019
s624,"June 30, 2021",2021
s625,"June 30, 2021",2021
s626,"June 30, 2021",2021
s627,"June 30, 2021",2021
s628,"June 30, 2021",2020
s629,"June 29, 2021",2021
s630,"June 28, 2021",2020
s631,"June 28, 2021",2012
s632,"June 28, 2021",2021
s633,"June 28, 2021",2019
s634,"June 26, 2021",2018
s635,"June 26, 2021",2019
s636,"June 25, 2021",2010
s637,"June 25, 2021",2021
s638,"June 25, 2021",2021
s639,"June 25, 2021",2021
s640,"June 24, 2021",2021
s641,"June 24, 2021",2021
s642,"June 24, 2021",2021
s643,"June 24, 2021",2021
s644,"June 24, 2021",2021
s645,"June 23, 2021",2021
s646,"June 23, 2021",2021
s647,"June 23, 2021",2021
s648,"June 23, 2021",2021
s649,"June 23, 2021",2021
s650,"June 22, 2021",2019
s651,"June 22, 2021",2016
s652,"June 22, 2021",2003
s653,"June 22, 2021",2004
s654,"June 22, 2021",2021
s655,"June 21, 2021",2014
s656,"June 21, 2021",2016
s657,"June 21, 2021",2015
s658,"June 21, 2021",2001
s659,"June 20, 2021",2021
s660,"June 19, 2021",2018
s661,"June 19, 2021",2021
s662,"June 19, 2021",2018
s663,"June 19, 2021",2018
s664,"June 19, 2021",2019
s665,"June 19, 2021",2020
s666,"June 19, 2021",2020
s667,"June 19, 2021",2020
s668,"June 19, 2021",2015
s669,"June 19, 2021",2018
s670,"June 19, 2021",2020
s671,"June 19, 2021",1981
s672,"June 19, 2021",1982
s673,"June 19, 2021",1988
s674,"June 19, 2021",2019
s675,"June 19, 2021",2019
s676,"June 19, 2021",2018
s677,"June 19, 2021",2019
s678,"June 19, 2021",2020
s679,"June 19, 2021",2018
s680,"June 19, 2021",2018
s681,"June 19, 2021",2020
s682,"June 19, 2021",2018
s683,"June 19, 2021",2021
s684,"June 18, 2021",2021
s685,"June 18, 2021",2021
s686,"June 18, 2021",2021
s687,"June 18, 2021",2021
s688,"June 18, 2021",2021
s689,"June 18, 2021",2020
s690,"June 18, 2021",1981
s691,"June 18, 2021",2021
s692,"June 18, 2021",2021
s693,"June 18, 2021",2021
s694,"June 17, 2021",2021
s695,"June 17, 2021",2019
s696,"June 17, 2021",2015
s697,"June 17, 2021",2021
s698,"June 17, 2021",2021
s699,"June 17, 2021",2020
s700,"June 17, 2021",2021
s701,"June 17, 2021",2021
s702,"June 17, 2021",2019
s703,"June 17, 2021",2012
s704,"June 17, 2021",2021
s705,"June 16, 2021",2018
s706,"June 16, 2021",2019
s707,"June 16, 2021",2021
s708,"June 16, 2021",2021
s709,"June 16, 2021",2016
s710,"June 16, 2021",2020
s711,"June 16, 2021",2021
s712,"June 16, 2021",2021
s713,"June 16, 2021",2020
s714,"June 15, 2021",2020
s715,"June 15, 2021",2021
s716,"June 15, 2021",2021
s717,"June 15, 2021",1972
s718,"June 15, 2021",2021
s719,"June 15, 2021",2013
s720,"June 15, 2021",2021
s721,"June 15, 2021",2021
s722,"June 15, 2021",2020
s723,"June 15, 2021",2005
s724,"June 15, 2021",2014
s725,"June 15, 2021",2021
s726,"June 14, 2021",2021
s727,"June 13, 2021",2014
s728,"June 13, 2021",2020
s729,"June 13, 2021",2021
s730,"June 12, 2021",2021
s731,"June 12, 2021",2021
s732,"June 12, 2021",2021
s733,"June 12, 2021",2021
s734,"June 11, 2021",2016
s735,"June 11, 2021",2021
s736,"June 11, 2021",2021
s737,"June 11, 2021",2021
s738,"June 11, 2021",2021
s739,"June 11, 2021",2021
s740,"June 11, 2021",2021
s741,"June 10, 2021",2014
s742,"June 10, 2021",2012
s743,"June 10, 2021",2021
s744,"June 10, 2021",2014
s745,"June 10, 2021",2021
s746,"June 10, 2021",2019
s747,"June 9, 2021",2021
s748,"June 9, 2021",2013
s749,"June 9, 2021",2021
s750,"June 9, 2021",2021
s751,"June 9, 2021",2021
s752,"June 8, 2021",2018
s753,"June 7, 2021",2014
s754,"June 6, 2021",2007
s755,"June 5, 2021",2018
s756,"June 5, 2021",2021
s757,"June 5, 2021",2020
s758,"June 4, 2021",2021
s759,"June 4, 2021",2021
s760,"June 4, 2021",2015
s761,"June 4, 2021",2015
s762,"June 4, 2021",2021
s763,"June 4, 2021",2021
s764,"June 4, 2021",2021
s765,"June 4, 2021",2021
s766,"June 4, 2021",2021
s767,"June 3, 2021",2021
s768,"June 3, 2021",2021
s769,"June 3, 2021",2021
s770,"June 3, 2021",2020
s771,"June 3, 2021",2021
s772,"June 3, 2021",2021
s773,"June 3, 2021",2021
s774,"June 3, 2021",2019
s775,"June 2, 2021",2020
s776,"June 2, 2021",2012
s777,"June 2, 2021",2001
s778,"June 2, 2021",2009
s779,"June 2, 2021",2013
s780,"June 2, 2021",2000
s781,"June 2, 2021",2019
s782,"June 2, 2021",2021
s783,"June 2, 2021",1997
s784,"June 2, 2021",2021
s785,"June 2, 2021",2011
s786,"June 2, 2021",2021
s787,"June 2, 2021",2013
s788,"June 2, 2021",2003
s789,"June 2, 2021",2001
s790,"June 2, 2021",2015
s791,"June 2, 2021",2015
s792,"June 2, 2021",2008
s793,"June 2, 2021",2010
s794,"June 2, 2021",1997
s795,"June 2, 2021",2019
s796,"June 2, 2021",2012
s797,"June 2, 2021",2011
s798,"June 2, 2021",2001
s799,"June 2, 2021",1997
s800,"June 2, 2021",2004
s801,"June 2, 2021",2012
s802,"June 2, 2021",2011
s803,"June 2, 2021",2009
s804,"June 2, 2021",2006
s805,"June 2, 2021",2006
s806,"June 2, 2021",2021
s807,"June 2, 2021",2017
s808,"June 2, 2021",2017
s809,"June 2, 2021",2014
s810,"June 2, 2021",2004
s811,"June 2, 2021",1984
s812,"June 2, 2021",2021
s813,"June 2, 2021",2001
s814,"June 2, 2021",1993
s815,"June 2, 2021",1981
s816,"June 2, 2021",2015
s817,"June 2, 2021",2005
s818,"June 2, 2021",2015
s819,"June 2, 2021",1996
s820,"June 2, 2021",1976
s821,"June 2, 2021",2021
s822,"June 2, 2021",2018
s823,"June 2, 2021",2019
s824,"June 2, 2021",2019
s825,"June 2, 2021",2018
s826,"May 31, 2021",2020
s827,"May 30, 2021",2021
s828,"May 29, 2021",2021
s829,"May 28, 2021",2016
s830,"May 28, 2021",2021
s831,"May 28, 2021",2021
s832,"May 28, 2021",2021
s833,"May 28, 2021",2021
s834,"May 27, 2021",2021
s835,"May 27, 2021",2021
s836,"May 27, 2021",2021
s837,"May 27, 2021",2021
s838,"May 27, 2021",2021
s839,"May 27, 2021",2021
s840,"May 27, 2021",2018
s841,"May 26, 2021",2021
s842,"May 26, 2021",2021
s843,"May 26, 2021",2021
s844,"May 26, 2021",2016
s845,"May 26, 2021",2021
s846,"May 25, 2021",2014
s847,"May 25, 2021",2015
s848,"May 24, 2021",2021
s849,"May 23, 2021",2021
s850,"May 22, 2021",2020
s851,"May 21, 2021",2021
s852,"May 21, 2021",2021
s853,"May 21, 2021",2021
s854,"May 21, 2021",2021
s855,"May 21, 2021",2021
s856,"May 21, 2021",2021
s857,"May 21, 2021",2020
s858,"May 21, 2021",2021
s859,"May 20, 2021",2009
s860,"May 20, 2021",2011
s861,"May 20, 2021",2020
s862,"May 20, 2021",2021
s863,"May 20, 2021",2021
s864,"May 20, 2021",2011
s865,"May 20, 2021",2006
s866,"May 19, 2021",2014
s867,"May 19, 2021",2017
s868,"May 19, 2021",1998
s869,"May 19, 2021",1997
s870,"May 19, 2021",2021
s871,"May 18, 2021",2021
s872,"May 18, 2021",2021
s873,"May 16, 2021",2016
s874,"May 15, 2021",2021
s875,"May 15, 2021",2021
s876,"May 15, 2021",2020
s877,"May 14, 2021",2021
s878,"May 14, 2021",2021
s879,"May 14, 2021",2021
s880,"May 14, 2021",2021
s881,"May 14, 2021",2021
s882,"May 14, 2021",2021
s883,"May 14, 2021",2021
s884,"May 14, 2021",2021
s885,"May 14, 2021",2021
s886,"May 14, 2021",2018
s887,"May 14, 2021",2020
s888,"May 14, 2021",2020
s889,"May 14, 2021",2021
s890,"May 14, 2021",2021
s891,"May 13, 2021",2021
s892,"May 13, 2021",2004
s893,"May 13, 2021",2018
s894,"May 13, 2021",2020
s895,"May 12, 2021",2021
s896,"May 12, 2021",2021
s897,"May 12, 2021",2021
s898,"May 12, 2021",2021
s899,"May 11, 2021",2020
s900,"May 11, 2021",2020
s901,"May 11, 2021",2021
s902,"May 10, 2021",2019
s903,"May 9, 2021",2021
s904,"May 9, 2021",2021
s905,"May 8, 2021",2017
s906,"May 8, 2021",2021
s907,"May 7, 2021",1999
s908,"May 7, 2021",2020
s909,"May 7, 2021",2021
s910,"May 7, 2021",2021
s911,"May 7, 2021",2021
s912,"May 7, 2021",2017
s913,"May 7, 2021",2021
s914,"May 7, 2021",2020
s915,"May 7, 2021",2017
s916,"May 6, 2021",2020
s917,"May 6, 2021",2013
s918,"May 5, 2021",2019
s919,"May 5, 2021",2021
s920,"May 5, 2021",2021
s921,"May 4, 2021",2020
s922,"May 4, 2021",2018
s923,"May 4, 2021",2018
s924,"May 4, 2021",2021
s925,"May 1, 2021",2020
s926,"May 1, 2021",2010
s927,"May 1, 2021",2006
s928,"May 1, 2021",2010
s929,"May 1, 2021",1989
s930,"May 1, 2021",2017
s931,"May 1, 2021",2010
